Date,Open,Close,High,Low
2021-04-12,6915.75,6889.12,6916.08,6853.75
2021-04-13,6889.12,6890.49,6895.13,6859.72
2021-04-14,6890.49,6939.58,6942.33,6880.67
2021-04-15,6939.58,6983.5,6994.9,6939.26
2021-04-16,6983.5,7019.53,7037.65,6983.5
2021-04-19,7019.53,7000.08,7040.26,6979.23
2021-04-20,7000.08,6859.87,7001.27,6857.07
2021-04-21,6859.87,6895.29,6914.88,6859.61
2021-04-22,6895.29,6938.24,6941.11,6889.32
2021-04-23,6938.24,6938.56,6938.56,6891.75
2021-04-26,6938.56,6963.12,6971.52,6913.39
2021-04-27,6963.12,6944.97,6975.07,6929.77
2021-04-28,6944.97,6963.67,6986.7,6944.06
2021-04-29,6963.67,6961.48,7019.76,6953.87
2021-04-30,6961.48,6969.81,7009.47,6946.04
2021-05-04,6969.81,6923.17,7034.26,6912.28
2021-05-05,6923.17,7039.3,7047.75,6923.17
2021-05-06,7039.3,7076.17,7076.17,7026.75
2021-05-07,7076.17,7129.71,7143.46,7076.17
2021-05-10,7129.71,7123.68,7164.18,7104.4
2021-05-11,7123.68,6947.99,7123.68,6912.36
2021-05-12,6947.99,7004.63,7028.1,6945.33
2021-05-13,7004.63,6963.33,7004.63,6823.6
2021-05-14,6963.33,7043.61,7048.67,6963.33
2021-05-17,7043.61,7032.85,7066.76,6989.11
2021-05-18,7032.85,7034.24,7102.57,7030.37
2021-05-19,7034.24,6950.2,7034.24,6897.06
2021-05-20,6950.2,7019.79,7019.79,6926.85
2021-05-21,7019.79,7018.05,7028.17,6973.31
2021-05-24,7018.05,7051.59,7054.63,7013.51
2021-05-25,7051.59,7029.79,7067.6,7029.79
2021-05-26,7029.79,7026.93,7050.88,6998.19
2021-05-27,7026.93,7019.67,7044.01,7008.53
2021-05-28,7019.67,7022.61,7054.91,7019.58
2021-06-01,7022.61,7080.46,7118.03,7022.61
2021-06-02,7080.46,7108,7122.54,7074.06
2021-06-03,7108,7064.35,7108.04,7013.85
2021-06-04,7064.35,7069.04,7071.81,7039.74
2021-06-07,7069.04,7077.22,7098.31,7042.19
2021-06-08,7077.22,7095.09,7120.73,7074.94
2021-06-09,7095.09,7081.01,7095.72,7046.02
2021-06-10,7081.01,7088.18,7117.74,7080.02
2021-06-11,7088.18,7134.06,7140.7,7088.18
2021-06-14,7134.06,7146.68,7188.26,7131.79
2021-06-15,7146.68,7172.48,7189.63,7142.71
2021-06-16,7172.48,7184.95,7217.54,7169.21
2021-06-17,7184.95,7153.43,7184.95,7132.96
2021-06-18,7153.43,7017.47,7154.63,7008.74
2021-06-21,7017.47,7062.29,7065.05,6948.63
2021-06-22,7062.29,7090.01,7098.67,7061.13
2021-06-23,7090.01,7074.06,7129.4,7074.06
2021-06-24,7074.06,7109.97,7119.41,7070.9
2021-06-25,7109.97,7136.07,7139.08,7109.79
2021-06-28,7136.07,7072.97,7136.22,7071.95
2021-06-29,7072.97,7087.55,7120.77,7071.86
2021-06-30,7087.55,7037.47,7100.71,7010.57
2021-07-01,7037.47,7125.16,7134.21,7037.47
2021-07-02,7125.16,7123.27,7162.16,7110.3
2021-07-05,7123.27,7164.91,7168.03,7111.51
2021-07-06,7164.91,7100.88,7170.6,7075.73
2021-07-07,7100.88,7151.02,7153.68,7100.88
2021-07-08,7151.02,7030.66,7151.02,6981.57
2021-07-09,7030.66,7121.88,7121.88,7030.22
2021-07-12,7121.88,7125.42,7134.87,7066.2
2021-07-13,7125.42,7124.72,7152.44,7116.26
2021-07-14,7124.72,7091.19,7124.72,7073.59
2021-07-15,7091.19,7012.02,7111.77,7005.02
2021-07-16,7012.02,7008.09,7056.73,6978.06
2021-07-19,7008.09,6844.39,7008.09,6813.03
2021-07-20,6844.39,6881.13,6929.89,6827.26
2021-07-21,6881.13,6998.28,7007.75,6881.13
2021-07-22,6998.28,6968.3,7018.95,6956.24
2021-07-23,6968.3,7027.58,7033.27,6968.3
2021-07-26,7027.58,7025.43,7038.65,6980.67
2021-07-27,7025.43,6996.08,7028.37,6929.64
2021-07-28,6996.08,7016.63,7023.35,6974.8
2021-07-29,7016.63,7078.42,7093.93,7008.65
2021-07-30,7078.42,7032.3,7078.42,6996.93
2021-08-02,7032.3,7081.72,7111.66,7032.3
2021-08-03,7081.72,7105.72,7119.19,7074.32
2021-08-04,7105.72,7123.86,7142.54,7105.72
2021-08-05,7123.86,7120.43,7130.35,7099.03
2021-08-06,7120.43,7122.95,7135.39,7103.71
2021-08-09,7122.95,7132.3,7138.8,7089.74
2021-08-10,7132.3,7161.04,7166.67,7115.87
2021-08-11,7161.04,7220.14,7220.14,7157.74
2021-08-12,7220.14,7193.23,7220.7,7182.92
2021-08-13,7193.23,7218.71,7224.46,7193.13
2021-08-16,7218.71,7153.98,7218.71,7117.78
2021-08-17,7153.98,7181.11,7188.55,7118.67
2021-08-18,7181.11,7169.32,7198.79,7143.55
2021-08-19,7169.32,7058.86,7169.32,6993.06
2021-08-20,7058.86,7087.9,7095.61,7032.45
2021-08-23,7087.9,7109.02,7147.8,7087.9
2021-08-24,7109.02,7125.78,7129.66,7076.06
2021-08-25,7125.78,7150.12,7151.75,7121.29
2021-08-26,7150.12,7124.98,7150.12,7095.43
2021-08-27,7124.98,7148.01,7157.6,7108.53
2021-08-31,7148.01,7119.7,7160.49,7092.03
2021-09-01,7119.7,7149.84,7187.34,7119.7
2021-09-02,7149.84,7163.9,7168.78,7129.71
2021-09-03,7163.9,7138.35,7182.23,7123.87
2021-09-06,7138.35,7187.18,7195.62,7138.35
2021-09-07,7187.18,7149.37,7187.18,7147.94
2021-09-08,7149.37,7095.53,7149.37,7061.13
2021-09-09,7095.53,7024.21,7095.53,6998.62
2021-09-10,7024.21,7029.2,7055.22,7014.42
2021-09-13,7029.2,7068.43,7090.81,7029.2
2021-09-14,7068.43,7034.06,7068.45,7020.1
2021-09-15,7034.06,7016.49,7047.27,7016.49
2021-09-16,7016.49,7027.48,7058.99,7016.32
2021-09-17,7027.48,6963.64,7092.69,6941.69
2021-09-20,6963.64,6903.91,6963.64,6828.28
2021-09-21,6903.91,6980.98,7004.88,6903.91
2021-09-22,6980.98,7083.37,7090.48,6980.98
2021-09-23,7083.37,7078.35,7131.43,7070.68
2021-09-24,7078.35,7051.48,7080.23,7041.34
2021-09-27,7051.48,7063.4,7122.09,7043.21
2021-09-28,7063.4,7028.1,7071.36,7015.58
2021-09-29,7028.1,7108.16,7117.52,7026.85
2021-09-30,7108.16,7086.42,7159.61,7072.57
2021-10-01,7086.42,7027.07,7086.42,6989.64
2021-10-04,7027.07,7011.01,7072.48,7002.72
2021-10-05,7011.01,7077.1,7084.52,7011.01
2021-10-06,7077.1,6995.87,7077.1,6945.5
2021-10-07,6995.87,7078.04,7094.93,6995.87
2021-10-08,7078.04,7095.55,7109.34,7070.53
2021-10-11,7095.55,7146.85,7146.85,7085.85
2021-10-12,7146.85,7130.23,7146.85,7063.43
2021-10-13,7130.23,7141.82,7152.87,7087.93
2021-10-14,7141.82,7207.71,7216.15,7141.82
2021-10-15,7207.71,7234.03,7243.85,7206.26
2021-10-18,7234.03,7203.83,7234.03,7180.2
2021-10-19,7203.83,7217.53,7223.29,7189.5
2021-10-20,7217.53,7223.1,7229.26,7199.29
2021-10-21,7223.1,7190.3,7227.06,7181.7
2021-10-22,7190.3,7204.55,7235.19,7190.3
2021-10-25,7204.55,7222.82,7247.53,7204.55
2021-10-26,7222.82,7277.62,7281.17,7222.82
2021-10-27,7277.62,7253.27,7280.45,7247.25
2021-10-28,7253.27,7249.47,7257.85,7219.71
2021-10-29,7249.47,7237.57,7249.47,7192.05
2021-11-01,7237.57,7288.62,7303.39,7237.57
2021-11-02,7288.62,7274.81,7288.62,7240.02
2021-11-03,7274.81,7248.89,7277.64,7235.32
2021-11-04,7248.89,7279.91,7292.96,7247.59
2021-11-05,7279.91,7303.96,7331.25,7270.03
2021-11-08,7303.96,7300.4,7316.54,7293.5
2021-11-09,7300.4,7274.04,7314.13,7268.79
2021-11-10,7274.04,7340.15,7340.15,7270.11
2021-11-11,7340.15,7384.18,7394.41,7329.68
2021-11-12,7384.18,7347.91,7402.68,7340.49
2021-11-15,7347.91,7351.86,7363.48,7324.11
2021-11-16,7351.86,7326.97,7368.25,7324.13
2021-11-17,7326.97,7291.2,7326.97,7289.98
2021-11-18,7291.2,7255.96,7291.26,7241.99
2021-11-19,7255.96,7223.57,7289.51,7198.76
2021-11-22,7223.57,7255.46,7272.63,7207.81
2021-11-23,7255.46,7266.69,7293.07,7204.37
2021-11-24,7266.69,7286.32,7307.89,7245.98
2021-11-25,7286.32,7310.37,7311.94,7286.32
2021-11-26,7310.37,7044.03,7310.37,7042.12
2021-11-29,7044.03,7109.95,7161.91,7044.03
2021-11-30,7109.95,7059.45,7109.95,6989.66
2021-12-01,7059.45,7168.68,7182.01,7059.35
2021-12-02,7168.68,7129.21,7168.68,7083.21
2021-12-03,7129.21,7122.32,7196.05,7105.29
2021-12-06,7122.32,7232.28,7246.25,7122.32
2021-12-07,7232.28,7339.9,7344.69,7232.28
2021-12-08,7339.9,7337.05,7378.92,7333.56
2021-12-09,7337.05,7321.26,7366.1,7302.96
2021-12-10,7321.26,7291.78,7331.58,7284.82
2021-12-13,7291.78,7231.44,7309.23,7226.63
2021-12-14,7231.44,7218.64,7284.47,7218.64
2021-12-15,7218.64,7170.75,7224.85,7166.83
2021-12-16,7170.75,7260.61,7273.34,7170.75
2021-12-17,7260.61,7269.92,7286.5,7237.12
2021-12-20,7269.92,7198.03,7269.92,7101.04
2021-12-21,7198.03,7297.41,7297.41,7198.03
2021-12-22,7297.41,7341.66,7341.66,7273.45
2021-12-23,7341.66,7373.34,7385.42,7331.05
2021-12-24,7373.34,7372.1,7403.65,7368.83
2021-12-29,7372.1,7420.69,7457.14,7372.1
2021-12-30,7420.69,7403.01,7433.39,7403.01
2021-12-31,7403.01,7384.54,7403.01,7357.1
2022-01-04,7384.54,7505.15,7520.79,7384.54
2022-01-05,7505.15,7516.87,7529.97,7484.28
2022-01-06,7516.87,7450.37,7516.87,7419.95
2022-01-07,7450.37,7485.28,7485.28,7431.86
2022-01-10,7485.28,7445.25,7496.12,7422.94
2022-01-12,7445.25,7551.72,7564.2,7445.25
2022-01-13,7551.72,7563.85,7566.46,7530.12
2022-01-14,7563.85,7542.95,7568.16,7523.02
2022-01-17,7542.95,7611.23,7616.06,7542.95
2022-01-18,7611.23,7563.55,7613.05,7531.96
2022-01-19,7563.55,7589.66,7614.93,7525.15
2022-01-20,7589.66,7585.01,7619.01,7549.87
2022-01-21,7585.01,7494.13,7585.01,7450.49
2022-01-24,7494.13,7297.15,7494.13,7283.47
2022-01-25,7297.15,7371.46,7382.6,7297.15
2022-01-26,7371.46,7469.78,7525.58,7371.46
2022-01-27,7469.78,7554.31,7595.35,7388.8
2022-01-28,7554.31,7466.07,7554.31,7420.2
2022-01-31,7466.07,7464.37,7523.95,7450.89
2022-02-01,7464.37,7535.78,7549.29,7463.01
2022-02-02,7535.78,7583,7605.64,7535.78
2022-02-03,7583,7528.84,7605.75,7528.69
2022-02-04,7528.84,7516.4,7599.73,7497.21
2022-02-07,7516.4,7573.47,7591.65,7508.48
2022-02-08,7573.47,7567.07,7631.31,7548.19
2022-02-09,7567.07,7643.42,7657.93,7567.07
2022-02-10,7643.42,7672.4,7687.27,7622.74
2022-02-11,7672.4,7661.02,7672.4,7596.11
2022-02-14,7661.02,7531.59,7661.02,7483.36
2022-02-15,7531.59,7608.92,7608.92,7513.16
2022-02-16,7608.92,7603.78,7630.72,7560.94
2022-02-17,7603.78,7537.37,7607.24,7503.15
2022-02-18,7537.37,7513.62,7570.56,7508.73
2022-02-21,7513.62,7484.33,7571.07,7449.45
2022-02-22,7484.33,7494.21,7531.32,7365.04
2022-02-23,7494.21,7498.18,7549.65,7490.54
2022-02-24,7498.18,7207.01,7498.18,7204.74
2022-02-25,7256.45,7489.46,7496.79,7249.88
2022-02-28,7463.81,7458.25,7463.81,7362.43
2022-03-01,7458.16,7330.2,7499.25,7330.2
2022-03-02,7330.2,7429.56,7429.56,7322.22
2022-03-03,7429.56,7238.85,7468.6,7231.51
2022-03-04,7238.85,6987.14,7238.85,6987.14
2022-03-07,6987.14,6959.48,7029.89,6787.98
2022-03-08,6959.48,6964.11,7013.51,6893.55
2022-03-09,6964.11,7190.72,7190.72,6964.11
2022-03-10,7190.72,7099.09,7192.75,7065.96
2022-03-11,7099.09,7155.64,7260.4,7099.03
2022-03-14,7155.64,7193.47,7208.17,7144.29
2022-03-15,7129.02,7175.7,7175.7,7075.88
2022-03-16,7201.51,7291.68,7303.52,7201.51
2022-03-17,7291.79,7385.34,7385.34,7260.51
2022-03-18,7385.34,7404.73,7406.13,7318.9
2022-03-21,7404.73,7442.39,7464.95,7402.6
2022-03-22,7442.39,7476.72,7490.46,7442.39
2022-03-23,7476.72,7460.63,7521.14,7459.36
2022-03-24,7460.63,7467.38,7492,7453.25
2022-03-25,7467.38,7483.35,7502.67,7441.28
2022-03-28,7483.35,7473.14,7539.3,7471.47
2022-03-29,7473.14,7537.25,7584.1,7473.14
2022-03-30,7537.25,7578.75,7578.75,7523.82
2022-03-31,7578.75,7515.68,7595.42,7515.68
2022-04-01,7515.68,7537.9,7552.46,7508.92
2022-04-04,7537.9,7558.92,7574.33,7532.23
2022-04-05,7558.92,7613.72,7613.72,7536.21
2022-04-06,7613.72,7587.7,7614.13,7536.2
2022-04-07,7587.7,7551.81,7601.52,7537.25
2022-04-08,7551.81,7669.56,7669.56,7551.81
2022-04-11,7669.56,7618.31,7669.56,7611.68
2022-04-12,7618.31,7576.66,7618.31,7543.03
2022-04-13,7576.66,7580.8,7597.85,7550.94
2022-04-14,7580.8,7616.38,7622.41,7551.39
